Plate,Content,Annotation,Mass
231115_Phenol_2,Sample X1,0,NA
231115_Phenol_2,Sample X2,0,NA
231115_Phenol_2,Sample X3,0,NA
231115_Phenol_2,Sample X4,0.1,NA
231115_Phenol_2,Sample X5,0.1,NA
231115_Phenol_2,Sample X6,0.1,NA
231115_Phenol_2,Sample X7,0.25,NA
231115_Phenol_2,Sample X8,0.25,NA
231115_Phenol_2,Sample X9,0.25,NA
231115_Phenol_2,Sample X10,0.5,NA
231115_Phenol_2,Sample X11,0.5,NA
231115_Phenol_2,Sample X12,0.5,NA
231115_Phenol_2,Sample X13,0.75,NA
231115_Phenol_2,Sample X14,0.75,NA
231115_Phenol_2,Sample X15,0.75,NA
231115_Phenol_2,Sample X16,0.9,NA
231115_Phenol_2,Sample X17,0.9,NA
231115_Phenol_2,Sample X18,0.9,NA
231115_Phenol_2,Sample X19,1,NA
231115_Phenol_2,Sample X20,1,NA
231115_Phenol_2,Sample X21,1,NA
231115_Phenol_2,Sample X22,U1f,59.02
231115_Phenol_2,Sample X23,U1f,59.02
231115_Phenol_2,Sample X24,U1f,59.02
231115_Phenol_2,Sample X25,U2f,75.01
231115_Phenol_2,Sample X26,U2f,75.01
231115_Phenol_2,Sample X27,U2f,75.01
231115_Phenol_2,Sample X28,U3f,34.86
231115_Phenol_2,Sample X29,U3f,34.86
231115_Phenol_2,Sample X30,U3f,34.86
231115_Phenol_2,Sample X31,U4f,58.42
231115_Phenol_2,Sample X32,U4f,58.42
231115_Phenol_2,Sample X33,U4f,58.42
231115_Phenol_2,Sample X34,U5f,55.47
231115_Phenol_2,Sample X35,U5f,55.47
231115_Phenol_2,Sample X36,U5f,55.47
231115_Phenol_2,Sample X37,U6f,49.05
231115_Phenol_2,Sample X38,U6f,49.05
231115_Phenol_2,Sample X39,U6f,49.05
231115_Phenol_2,Sample X40,U7f,63.37
231115_Phenol_2,Sample X41,U7f,63.37
231115_Phenol_2,Sample X42,U7f,63.37
231115_Phenol_2,Sample X43,U8f,67.56
231115_Phenol_2,Sample X44,U8f,67.56
231115_Phenol_2,Sample X45,U8f,67.56
231115_Phenol_2,Sample X46,U9f,42.9
231115_Phenol_2,Sample X47,U9f,42.9
231115_Phenol_2,Sample X48,U9f,42.9
231115_Phenol_2,Sample X49,U10f,61.87
231115_Phenol_2,Sample X50,U10f,61.87
231115_Phenol_2,Sample X51,U10f,61.87
231115_Phenol_2,Sample X52,U11f,58.99
231115_Phenol_2,Sample X53,U11f,58.99
231115_Phenol_2,Sample X54,U11f,58.99
231115_Phenol_2,Sample X55,U12f,52.14
231115_Phenol_2,Sample X56,U12f,52.14
231115_Phenol_2,Sample X57,U12f,52.14
231115_Phenol_2,Sample X58,U13f,58.66
231115_Phenol_2,Sample X59,U13f,58.66
231115_Phenol_2,Sample X60,U13f,58.66
231115_Phenol_2,Sample X61,U14f,52.67
231115_Phenol_2,Sample X62,U14f,52.67
231115_Phenol_2,Sample X63,U14f,52.67
231115_Phenol_2,Sample X64,U15f,48.16
231115_Phenol_2,Sample X65,U15f,48.16
231115_Phenol_2,Sample X66,U15f,48.16
231115_Phenol_2,Sample X67,U2,52.37
231115_Phenol_2,Sample X68,U2,52.37
231115_Phenol_2,Sample X69,U2,52.37
231115_Phenol_2,Sample X70,U5,74.63
231115_Phenol_2,Sample X71,U5,74.63
231115_Phenol_2,Sample X72,U5,74.63
231115_Phenol_2,Sample X73,U8,50.65
231115_Phenol_2,Sample X74,U8,50.65
231115_Phenol_2,Sample X75,U8,50.65
231115_Phenol_2,Sample X76,U11,66.54
231115_Phenol_2,Sample X77,U11,66.54
231115_Phenol_2,Sample X78,U11,66.54
231115_Phenol_2,Sample X79,U15,67.69
231115_Phenol_2,Sample X80,U15,67.69
231115_Phenol_2,Sample X81,U15,67.69
250324_Phenol_1,Sample X1,0,NA
250324_Phenol_1,Sample X2,0,NA
250324_Phenol_1,Sample X3,0,NA
250324_Phenol_1,Sample X4,0.1,NA
250324_Phenol_1,Sample X5,0.1,NA
250324_Phenol_1,Sample X6,0.1,NA
250324_Phenol_1,Sample X7,0.25,NA
250324_Phenol_1,Sample X8,0.25,NA
250324_Phenol_1,Sample X9,0.25,NA
250324_Phenol_1,Sample X10,0.5,NA
250324_Phenol_1,Sample X11,0.5,NA
250324_Phenol_1,Sample X12,0.5,NA
250324_Phenol_1,Sample X13,0.75,NA
250324_Phenol_1,Sample X14,0.75,NA
250324_Phenol_1,Sample X15,0.75,NA
250324_Phenol_1,Sample X16,0.9,NA
250324_Phenol_1,Sample X17,0.9,NA
250324_Phenol_1,Sample X18,0.9,NA
250324_Phenol_1,Sample X19,1,NA
250324_Phenol_1,Sample X20,1,NA
250324_Phenol_1,Sample X21,1,NA
250324_Phenol_1,Sample X22,U1_F1,46.35
250324_Phenol_1,Sample X23,U1_F1,46.35
250324_Phenol_1,Sample X24,U1_F1,46.35
250324_Phenol_1,Sample X25,U2_F1,58.48
250324_Phenol_1,Sample X26,U2_F1,58.48
250324_Phenol_1,Sample X27,U2_F1,58.48
250324_Phenol_1,Sample X28,U3_F1,48.19
250324_Phenol_1,Sample X29,U3_F1,48.19
250324_Phenol_1,Sample X30,U3_F1,48.19
250324_Phenol_1,Sample X31,U4_F1,51.13
250324_Phenol_1,Sample X32,U4_F1,51.13
250324_Phenol_1,Sample X33,U4_F1,51.13
250324_Phenol_1,Sample X34,U5_F1,45.93
250324_Phenol_1,Sample X35,U5_F1,45.93
250324_Phenol_1,Sample X36,U5_F1,45.93
250324_Phenol_1,Sample X37,U6_F1,46.2
250324_Phenol_1,Sample X38,U6_F1,46.2
250324_Phenol_1,Sample X39,U6_F1,46.2
250324_Phenol_1,Sample X40,U7_F1,46.76
250324_Phenol_1,Sample X41,U7_F1,46.76
250324_Phenol_1,Sample X42,U7_F1,46.76
250324_Phenol_1,Sample X43,U8_F1,48.66
250324_Phenol_1,Sample X44,U8_F1,48.66
250324_Phenol_1,Sample X45,U8_F1,48.66
250324_Phenol_1,Sample X46,U9_F1,58.32
250324_Phenol_1,Sample X47,U9_F1,58.32
250324_Phenol_1,Sample X48,U9_F1,58.32
250324_Phenol_1,Sample X49,U10_F1,56.87
250324_Phenol_1,Sample X50,U10_F1,56.87
250324_Phenol_1,Sample X51,U10_F1,56.87
250324_Phenol_1,Sample X52,U11_F1,58.34
250324_Phenol_1,Sample X53,U11_F1,58.34
250324_Phenol_1,Sample X54,U11_F1,58.34
250324_Phenol_1,Sample X55,U12_F1,50.24
250324_Phenol_1,Sample X56,U12_F1,50.24
250324_Phenol_1,Sample X57,U12_F1,50.24
250324_Phenol_1,Sample X58,U13_F1,51.84
250324_Phenol_1,Sample X59,U13_F1,51.84
250324_Phenol_1,Sample X60,U13_F1,51.84
250324_Phenol_1,Sample X61,U14_F1,56.38
250324_Phenol_1,Sample X62,U14_F1,56.38
250324_Phenol_1,Sample X63,U14_F1,56.38
250324_Phenol_1,Sample X64,U15_F1,56.08
250324_Phenol_1,Sample X65,U15_F1,56.08
250324_Phenol_1,Sample X66,U15_F1,56.08
250324_Phenol_1,Sample X67,U1_F2,52.26
250324_Phenol_1,Sample X68,U1_F2,52.26
250324_Phenol_1,Sample X69,U1_F2,52.26
250324_Phenol_1,Sample X70,U2_F2,46.67
250324_Phenol_1,Sample X71,U2_F2,46.67
250324_Phenol_1,Sample X72,U2_F2,46.67
250324_Phenol_1,Sample X73,U3_F2,49.58
250324_Phenol_1,Sample X74,U3_F2,49.58
250324_Phenol_1,Sample X75,U3_F2,49.58
250324_Phenol_1,Sample X76,U4_F2,53.03
250324_Phenol_1,Sample X77,U4_F2,53.03
250324_Phenol_1,Sample X78,U4_F2,53.03
250324_Phenol_1,Sample X79,U5_F2,55.91
250324_Phenol_1,Sample X80,U5_F2,55.91
250324_Phenol_1,Sample X81,U5_F2,55.91
250324_Phenol_2,Sample X1,0,NA
250324_Phenol_2,Sample X2,0,NA
250324_Phenol_2,Sample X3,0,NA
250324_Phenol_2,Sample X4,0.1,NA
250324_Phenol_2,Sample X5,0.1,NA
250324_Phenol_2,Sample X6,0.1,NA
250324_Phenol_2,Sample X7,0.25,NA
250324_Phenol_2,Sample X8,0.25,NA
250324_Phenol_2,Sample X9,0.25,NA
250324_Phenol_2,Sample X10,0.5,NA
250324_Phenol_2,Sample X11,0.5,NA
250324_Phenol_2,Sample X12,0.5,NA
250324_Phenol_2,Sample X13,0.75,NA
250324_Phenol_2,Sample X14,0.75,NA
250324_Phenol_2,Sample X15,0.75,NA
250324_Phenol_2,Sample X16,0.9,NA
250324_Phenol_2,Sample X17,0.9,NA
250324_Phenol_2,Sample X18,0.9,NA
250324_Phenol_2,Sample X19,1,NA
250324_Phenol_2,Sample X20,1,NA
250324_Phenol_2,Sample X21,1,NA
250324_Phenol_2,Sample X22,U6_F2,55.35
250324_Phenol_2,Sample X23,U6_F2,55.35
250324_Phenol_2,Sample X24,U6_F2,55.35
250324_Phenol_2,Sample X25,U7_F2,57.39
250324_Phenol_2,Sample X26,U7_F2,57.39
250324_Phenol_2,Sample X27,U7_F2,57.39
250324_Phenol_2,Sample X28,U8_F2,47.33
250324_Phenol_2,Sample X29,U8_F2,47.33
250324_Phenol_2,Sample X30,U8_F2,47.33
250324_Phenol_2,Sample X31,U9_F2,49.01
250324_Phenol_2,Sample X32,U9_F2,49.01
250324_Phenol_2,Sample X33,U9_F2,49.01
250324_Phenol_2,Sample X34,U10_F2,50.56
250324_Phenol_2,Sample X35,U10_F2,50.56
250324_Phenol_2,Sample X36,U10_F2,50.56
250324_Phenol_2,Sample X37,U11_F2,50.02
250324_Phenol_2,Sample X38,U11_F2,50.02
250324_Phenol_2,Sample X39,U11_F2,50.02
250324_Phenol_2,Sample X40,U12_F2,51.82
250324_Phenol_2,Sample X41,U12_F2,51.82
250324_Phenol_2,Sample X42,U12_F2,51.82
250324_Phenol_2,Sample X43,U13_F2,46.94
250324_Phenol_2,Sample X44,U13_F2,46.94
250324_Phenol_2,Sample X45,U13_F2,46.94
250324_Phenol_2,Sample X46,U15_F2,48.4
250324_Phenol_2,Sample X47,U15_F2,48.4
250324_Phenol_2,Sample X48,U15_F2,48.4
250324_Phenol_2,Sample X49,U1_A1,58.1
250324_Phenol_2,Sample X50,U1_A1,58.1
250324_Phenol_2,Sample X51,U1_A1,58.1
250324_Phenol_2,Sample X52,U2_A1,47.39
250324_Phenol_2,Sample X53,U2_A1,47.39
250324_Phenol_2,Sample X54,U2_A1,47.39
250324_Phenol_2,Sample X55,U3_A1,49.8
250324_Phenol_2,Sample X56,U3_A1,49.8
250324_Phenol_2,Sample X57,U3_A1,49.8
250324_Phenol_2,Sample X58,U4_A1,52.17
250324_Phenol_2,Sample X59,U4_A1,52.17
250324_Phenol_2,Sample X60,U4_A1,52.17
250324_Phenol_2,Sample X61,U5_A1,49.31
250324_Phenol_2,Sample X62,U5_A1,49.31
250324_Phenol_2,Sample X63,U5_A1,49.31
250324_Phenol_2,Sample X64,U6_A1,47.48
250324_Phenol_2,Sample X65,U6_A1,47.48
250324_Phenol_2,Sample X66,U6_A1,47.48
250324_Phenol_2,Sample X67,U7_A1,49.54
250324_Phenol_2,Sample X68,U7_A1,49.54
250324_Phenol_2,Sample X69,U7_A1,49.54
250324_Phenol_2,Sample X70,U8_A1,48.58
250324_Phenol_2,Sample X71,U8_A1,48.58
250324_Phenol_2,Sample X72,U8_A1,48.58
250324_Phenol_2,Sample X73,U9_A1,50.95
250324_Phenol_2,Sample X74,U9_A1,50.95
250324_Phenol_2,Sample X75,U9_A1,50.95
250324_Phenol_2,Sample X76,U10_A1,55.74
250324_Phenol_2,Sample X77,U10_A1,55.74
250324_Phenol_2,Sample X78,U10_A1,55.74
250324_Phenol_2,Sample X79,U11_A1,50.87
250324_Phenol_2,Sample X80,U11_A1,50.87
250324_Phenol_2,Sample X81,U11_A1,50.87
250324_Phenol_3,Sample X1,0,NA
250324_Phenol_3,Sample X2,0,NA
250324_Phenol_3,Sample X3,0,NA
250324_Phenol_3,Sample X4,0.1,NA
250324_Phenol_3,Sample X5,0.1,NA
250324_Phenol_3,Sample X6,0.1,NA
250324_Phenol_3,Sample X7,0.25,NA
250324_Phenol_3,Sample X8,0.25,NA
250324_Phenol_3,Sample X9,0.25,NA
250324_Phenol_3,Sample X10,0.5,NA
250324_Phenol_3,Sample X11,0.5,NA
250324_Phenol_3,Sample X12,0.5,NA
250324_Phenol_3,Sample X13,0.75,NA
250324_Phenol_3,Sample X14,0.75,NA
250324_Phenol_3,Sample X15,0.75,NA
250324_Phenol_3,Sample X16,0.9,NA
250324_Phenol_3,Sample X17,0.9,NA
250324_Phenol_3,Sample X18,0.9,NA
250324_Phenol_3,Sample X19,1,NA
250324_Phenol_3,Sample X20,1,NA
250324_Phenol_3,Sample X21,1,NA
250324_Phenol_3,Sample X22,U12_A1,49.56
250324_Phenol_3,Sample X23,U12_A1,49.56
250324_Phenol_3,Sample X24,U12_A1,49.56
250324_Phenol_3,Sample X25,U13_A1,47.13
250324_Phenol_3,Sample X26,U13_A1,47.13
250324_Phenol_3,Sample X27,U13_A1,47.13
250324_Phenol_3,Sample X28,U14_A1,53.48
250324_Phenol_3,Sample X29,U14_A1,53.48
250324_Phenol_3,Sample X30,U14_A1,53.48
250324_Phenol_3,Sample X31,U15_A1,53.6
250324_Phenol_3,Sample X32,U15_A1,53.6
250324_Phenol_3,Sample X33,U15_A1,53.6
250324_Phenol_3,Sample X34,U1_A2,50.67
250324_Phenol_3,Sample X35,U1_A2,50.67
250324_Phenol_3,Sample X36,U1_A2,50.67
250324_Phenol_3,Sample X37,U2_A2,55.11
250324_Phenol_3,Sample X38,U2_A2,55.11
250324_Phenol_3,Sample X39,U2_A2,55.11
250324_Phenol_3,Sample X40,U3_A2,54.64
250324_Phenol_3,Sample X41,U3_A2,54.64
250324_Phenol_3,Sample X42,U3_A2,54.64
250324_Phenol_3,Sample X43,U4_A2,48.57
250324_Phenol_3,Sample X44,U4_A2,48.57
250324_Phenol_3,Sample X45,U4_A2,48.57
250324_Phenol_3,Sample X46,U5_A2,46.28
250324_Phenol_3,Sample X47,U5_A2,46.28
250324_Phenol_3,Sample X48,U5_A2,46.28
250324_Phenol_3,Sample X49,U6_A2,58.35
250324_Phenol_3,Sample X50,U6_A2,58.35
250324_Phenol_3,Sample X51,U6_A2,58.35
250324_Phenol_3,Sample X52,U7_A2,46.46
250324_Phenol_3,Sample X53,U7_A2,46.46
250324_Phenol_3,Sample X54,U7_A2,46.46
250324_Phenol_3,Sample X55,U8_A2,47.26
250324_Phenol_3,Sample X56,U8_A2,47.26
250324_Phenol_3,Sample X57,U8_A2,47.26
250324_Phenol_3,Sample X58,U9_A2,50.42
250324_Phenol_3,Sample X59,U9_A2,50.42
250324_Phenol_3,Sample X60,U9_A2,50.42
250324_Phenol_3,Sample X61,U10_A2,50.95
250324_Phenol_3,Sample X62,U10_A2,50.95
250324_Phenol_3,Sample X63,U10_A2,50.95
250324_Phenol_3,Sample X64,U11_A2,48.18
250324_Phenol_3,Sample X65,U11_A2,48.18
250324_Phenol_3,Sample X66,U11_A2,48.18
250324_Phenol_3,Sample X67,U12_A2,50.41
250324_Phenol_3,Sample X68,U12_A2,50.41
250324_Phenol_3,Sample X69,U12_A2,50.41
250324_Phenol_3,Sample X70,U13_A2,48.41
250324_Phenol_3,Sample X71,U13_A2,48.41
250324_Phenol_3,Sample X72,U13_A2,48.41
250324_Phenol_3,Sample X73,U14_A2,47.19
250324_Phenol_3,Sample X74,U14_A2,47.19
250324_Phenol_3,Sample X75,U14_A2,47.19
250324_Phenol_3,Sample X76,U15_A2,50.74
250324_Phenol_3,Sample X77,U15_A2,50.74
250324_Phenol_3,Sample X78,U15_A2,50.74
250324_Phenol_4,Sample X1,0,NA
250324_Phenol_4,Sample X2,0,NA
250324_Phenol_4,Sample X3,0,NA
250324_Phenol_4,Sample X4,0.1,NA
250324_Phenol_4,Sample X5,0.1,NA
250324_Phenol_4,Sample X6,0.1,NA
250324_Phenol_4,Sample X7,0.25,NA
250324_Phenol_4,Sample X8,0.25,NA
250324_Phenol_4,Sample X9,0.25,NA
250324_Phenol_4,Sample X10,0.5,NA
250324_Phenol_4,Sample X11,0.5,NA
250324_Phenol_4,Sample X12,0.5,NA
250324_Phenol_4,Sample X13,0.75,NA
250324_Phenol_4,Sample X14,0.75,NA
250324_Phenol_4,Sample X15,0.75,NA
250324_Phenol_4,Sample X16,0.9,NA
250324_Phenol_4,Sample X17,0.9,NA
250324_Phenol_4,Sample X18,0.9,NA
250324_Phenol_4,Sample X19,1,NA
250324_Phenol_4,Sample X20,1,NA
250324_Phenol_4,Sample X21,1,NA
250324_Phenol_4,Sample X22,U3_A1_50%,49.8
250324_Phenol_4,Sample X23,U3_A1_50%,49.8
250324_Phenol_4,Sample X24,U3_A1_50%,49.8
250324_Phenol_4,Sample X25,U3_A1,49.8
250324_Phenol_4,Sample X26,U3_A1,49.8
250324_Phenol_4,Sample X27,U3_A1,49.8
250324_Phenol_4,Sample X28,U7_A1_50%,49.54
250324_Phenol_4,Sample X29,U7_A1_50%,49.54
250324_Phenol_4,Sample X30,U7_A1_50%,49.54
250324_Phenol_4,Sample X31,U7_A1,49.54
250324_Phenol_4,Sample X32,U7_A1,49.54
250324_Phenol_4,Sample X33,U7_A1,49.54
250324_Phenol_4,Sample X34,U9_A1_50%,50.95
250324_Phenol_4,Sample X35,U9_A1_50%,50.95
250324_Phenol_4,Sample X36,U9_A1_50%,50.95
250324_Phenol_4,Sample X37,U9_A1,50.95
250324_Phenol_4,Sample X38,U9_A1,50.95
250324_Phenol_4,Sample X39,U9_A1,50.95
250324_Phenol_4,Sample X40,U10_A1_50%,55.74
250324_Phenol_4,Sample X41,U10_A1_50%,55.74
250324_Phenol_4,Sample X42,U10_A1_50%,55.74
250324_Phenol_4,Sample X43,U10_A1,55.74
250324_Phenol_4,Sample X44,U10_A1,55.74
250324_Phenol_4,Sample X45,U10_A1,55.74
250324_Phenol_4,Sample X46,U11_A1_50%,50.87
250324_Phenol_4,Sample X47,U11_A1_50%,50.87
250324_Phenol_4,Sample X48,U11_A1_50%,50.87
250324_Phenol_4,Sample X49,U11_A1,50.87
250324_Phenol_4,Sample X50,U11_A1,50.87
250324_Phenol_4,Sample X51,U11_A1,50.87
250324_Phenol_4,Sample X52,U5_A2_50%,46.28
250324_Phenol_4,Sample X53,U5_A2_50%,46.28
250324_Phenol_4,Sample X54,U5_A2_50%,46.28
250324_Phenol_4,Sample X55,U5_A2,46.28
250324_Phenol_4,Sample X56,U5_A2,46.28
250324_Phenol_4,Sample X57,U5_A2,46.28