User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,
Test ID: 5470,,,
Test Name: Luka_Phenol,,,
Date: 24/03/2025,,,
Time: 5:20:40 PM,,,
ID1: 1,,,
Absorbance,,,Absorbance values are displayed as OD
,,,
,,,
Well,Content,Raw Data (765),
A01,Sample X1,0.069,
B01,Sample X2,0.065,
C01,Sample X3,0.062,
D01,Sample X4,0.333,
E01,Sample X5,0.319,
F01,Sample X6,0.34,
G01,Sample X7,0.796,
H01,Sample X8,0.848,
A02,Sample X9,0.794,
B02,Sample X10,1.483,
C02,Sample X11,1.593,
D02,Sample X12,1.588,
E02,Sample X13,2.047,
F02,Sample X14,1.727,
G02,Sample X15,2.134,
H02,Sample X16,2.335,
A03,Sample X17,2.487,
B03,Sample X18,2.466,
C03,Sample X19,2.467,
D03,Sample X20,2.368,
E03,Sample X21,2.426,
F03,Sample X22,0.182,
G03,Sample X23,0.191,
H03,Sample X24,0.193,
A04,Sample X25,0.179,
B04,Sample X26,0.169,
C04,Sample X27,0.194,
D04,Sample X28,0.146,
E04,Sample X29,0.154,
F04,Sample X30,0.158,
G04,Sample X31,0.182,
H04,Sample X32,0.195,
A05,Sample X33,0.199,
B05,Sample X34,0.162,
C05,Sample X35,0.171,
D05,Sample X36,0.169,
E05,Sample X37,0.149,
F05,Sample X38,0.16,
G05,Sample X39,0.161,
H05,Sample X40,0.155,
A06,Sample X41,0.167,
B06,Sample X42,0.159,
C06,Sample X43,0.157,
D06,Sample X44,0.163,
E06,Sample X45,0.169,
F06,Sample X46,0.096,
G06,Sample X47,0.096,
H06,Sample X48,0.099,
A07,Sample X49,0.165,
B07,Sample X50,0.172,
C07,Sample X51,0.173,
D07,Sample X52,0.178,
E07,Sample X53,0.16,
F07,Sample X54,0.158,
G07,Sample X55,0.168,
H07,Sample X56,0.182,
A08,Sample X57,0.187,
B08,Sample X58,0.16,
C08,Sample X59,0.175,
D08,Sample X60,0.169,
E08,Sample X61,0.14,
F08,Sample X62,0.138,
G08,Sample X63,0.141,
H08,Sample X64,0.161,
A09,Sample X65,0.176,
B09,Sample X66,0.171,
C09,Sample X67,0.105,
D09,Sample X68,0.107,
E09,Sample X69,0.11,
F09,Sample X70,0.109,
G09,Sample X71,0.112,
H09,Sample X72,0.114,
A10,Sample X73,0.12,
B10,Sample X74,0.119,
C10,Sample X75,0.116,
D10,Sample X76,0.128,
E10,Sample X77,0.137,
F10,Sample X78,0.135,
G10,Sample X79,0.121,
H10,Sample X80,0.129,
A11,Sample X81,0.133,