Image,Area
Image040,2.05
Image040,1.374
Image040,2.261
Image040,2.454
Image040,2.982
Image040,1.645
Image041,1.328
Image041,1.426
Image041,2.62
Image041,1.66
Image041,2.006
Image041,1.34
Image042,1.578
Image042,2.856
Image042,1.051
Image042,2.11
Image042,3.46
Image042,1.135
Image043,2.694
Image043,3.89
Image043,3.749
Image043,1.607
Image043,3.614
Image043,1.555
Image044,2.31
Image044,2.11
Image044,2.762
Image044,2.835
Image044,4.801
Image044,2.577
Image045,4.152
Image045,3.83
Image045,3.398
Image045,3.788
Image045,1.856
Image045,3.731
Image046,3.039
Image046,2.916
Image046,2.481
Image046,4.401
Image046,3.666
Image046,2.969
Image047,3.022
Image047,3.201
Image047,3.094
Image047,4.266
Image047,3.145
Image047,3.838
Image048,7.762
Image048,4.332
Image048,2.64
Image048,4.536
Image048,2.815
Image048,2.319
Image049,2.9
Image049,4.118
Image049,2.94
Image049,3.473
Image049,3.066
Image049,4.286
Image050,3.158
Image050,2.881
Image050,6.719
Image050,3.243
Image050,2.227
Image050,2.626
Image051,4.419
Image051,3.665
Image051,4.036
Image051,3.029
Image051,2.346
Image051,2.359
Image052,3.802
Image052,2.311
Image052,2.236
Image052,3.139
Image052,2.176
Image052,2.788
Image053,5.546
Image053,2.77
Image053,2.165
Image053,3.083
Image053,2.162
Image053,2.111
Image054,2.388
Image054,4.362
Image054,2.838
Image054,3.697
Image054,3.808
Image054,3.922
Image055,1.631
Image055,2.088
Image055,2.965
Image055,3.009
Image055,2.945
Image055,2.781
Image056,2.684
Image056,3.907
Image056,2.7
Image056,3.804
Image056,3.409
Image056,1.717
Image057,7.297
Image057,4.166
Image057,2.296
Image057,2.463
Image057,2.45
Image057,4.732
Image058,2.833
Image058,4.65
Image058,4.039
Image058,2.351
Image058,2.484
Image058,2.817
Image060,3.545
Image060,5.129
Image060,5.878
Image060,3.548
Image060,2.524
Image060,5.953
Image061,4.097
Image061,3.444
Image061,2.2
Image061,2.427
Image061,1.793
Image061,3.158
Image062,1.737
Image062,1.195
Image062,3.874
Image062,4.87
Image062,6.408
Image062,2.902
Image063,3.011
Image063,6.736
Image063,2.669
Image063,3.515
Image063,4.611
Image063,2.401
Image064,3.725
Image064,2.792
Image064,4.067
Image064,2.07
Image064,2.054
Image064,2.884
Image065,3.238
Image065,2.941
Image065,3.095
Image065,2.837
Image065,2.306
Image065,1.377
Image066,2.138
Image066,2.347
Image066,1.299
Image066,2.512
Image066,0.672
Image066,1.406
Image067,4.12
Image067,2.768
Image067,2.477
Image067,3.472
Image067,2.33
Image067,1.61
Image068,4.761
Image068,2.678
Image068,2.611
Image068,3.714
Image068,2.174
Image068,3.162
Image069,3.611
Image069,3.92
Image069,2.968
Image069,4.321
Image069,5.729
Image069,2.987
Image070,5.536
Image070,2.321
Image070,1.995
Image070,4.014
Image070,2.001
Image070,3.388
Image071,4.597
Image071,2.534
Image071,2.857
Image071,2.332
Image071,3.903
Image071,2.102
Image072,3.634
Image072,2.167
Image072,2.163
Image072,2.717
Image072,1.703
Image072,3.276
Image073,2.755
Image073,3.427
Image073,3.2
Image073,6.171
Image073,2.603
Image073,2.004
Image074,3.953
Image074,6.249
Image074,5.627
Image074,3.847
Image074,4.108
Image074,6.221
Image075,4.528
Image075,3.493
Image075,3.323
Image075,3.298
Image075,3.351
Image075,2.036
Image076,4.761
Image076,2.678
Image076,2.611
Image076,3.714
Image076,2.174
Image076,3.162