Type,Type2,Run,RunRep,No,start,stop,drop length (m),Comment,Sinking time (s),Speed m/s,WW (g),WW2 (g),Area (mm2),Length (mm),Width (mm),vol ml,Vol (mm3),Density (kg/m3),note
new blade,Blade new,5,1,12,,,0.5,1916,9.41,0.053134963,387,,158110.824,469.954,604.522,465,465000,832.2580645,205544.0712
new blade,Blade new,5,1,13,,,0.5,1916,8.02,0.06234414,281,,12238.005,506.479,535.22,310,310000,906.4516129,15909.4065
new blade,Blade new,5,1,14,,,,1916,no good,,189,,92579.328,450.249,319.368,275,275000,687.2727273,120353.1264
new blade,Blade new,5,1,15,,,0.4,1916,6.96,0.057471264,420,,212635.335,597.048,691.525,490,490000,857.1428571,276425.9355
new blade,Blade new,5,1,16,,,,1916,no good,,326,,174436.35,581.317,597.502,350,350000,931.4285714,226767.255
new blade,Blade new,5,1,17,,,0.3,1916,7.48,0.040106952,563,,285300.393,765.565,803.905,590,590000,954.2372881,370890.5109
new blade,Blade new,5,1,18,,,0.4,1916,6.78,0.05899705,409,,193459.445,539.659,617.607,425,425000,962.3529412,251497.2785
new blade,Blade new,5,1,19,,,0.3,not great,8.58,0.034965035,403,,206097.92,621.866,620.712,420,420000,959.5238095,267927.296
new blade,Blade new,5,1,20,,,0.5,1916,8.38,0.059665871,302,,179448.935,753.659,627.696,290,290000,1041.37931,233283.6155
new blade,Blade new,6,2,11,,,,1917,no good,,217,,100485.768,375.206,476.24,345,345000,628.9855072,130631.4984
new blade,Blade new,6,2,12,,,0.3,1917,6.92,0.043352601,387,,158110.824,469.954,604.522,465,465000,832.2580645,205544.0712
new blade,Blade new,6,2,13,,,0.4,1917,11.38,0.035149385,281,,12238.005,506.479,535.22,310,310000,906.4516129,15909.4065
new blade,Blade new,6,2,14,,,0.3,1917,8.26,0.036319613,189,,92579.328,450.249,319.368,275,275000,687.2727273,120353.1264
new blade,Blade new,6,2,15,,,0.4,1917,7.82,0.051150895,420,,212635.335,597.048,691.525,490,490000,857.1428571,276425.9355
new blade,Blade new,6,2,16,,,0.3,1917,7.15,0.041958042,326,,174436.35,581.317,597.502,350,350000,931.4285714,226767.255
new blade,Blade new,6,2,17,,13:48,0.4,1917,13.88,0.028818444,563,,285300.393,765.565,803.905,590,590000,954.2372881,370890.5109
new blade,Blade new,6,2,18,,,0.4,1917,7.98,0.050125313,409,,193459.445,539.659,617.607,425,425000,962.3529412,251497.2785
new blade,Blade new,6,2,19,,,0.4,1917,7.3,0.054794521,403,,206097.92,621.866,620.712,420,420000,959.5238095,267927.296
new blade,Blade new,6,2,20,,,0.3,1917,11.71,0.025619129,302,,179448.935,753.659,627.696,290,290000,1041.37931,233283.6155
new blade,Blade new,7,3,11,,,0.2,1917,11.73,0.017050298,217,,,,,345,345000,628.9855072,0
new blade,Blade new,7,3,12,,,0.3,1917,8,0.0375,387,,,,,465,465000,832.2580645,0
new blade,Blade new,7,3,13,,,0.5,1917,9.26,0.05399568,281,,,,,310,310000,906.4516129,0
new blade,Blade new,7,3,14,,,0.5,21917,16.21,0.030845157,189,,,,,275,275000,687.2727273,0
new blade,Blade new,7,3,15,,,0.5,21917,7.48,0.06684492,420,,,,,490,490000,857.1428571,0
new blade,Blade new,7,3,16,,,0.5,21917,18.5,0.027027027,326,,,,,350,350000,931.4285714,0
new blade,Blade new,7,3,17,,,0.4,21917,8.78,0.045558087,563,,,,,590,590000,954.2372881,0
new blade,Blade new,7,3,18,,,0.5,21917,11.08,0.045126354,409,,,,,425,425000,962.3529412,0
new blade,Blade new,7,3,19,,,0.3,21917,4.46,0.067264574,403,,,,,420,420000,959.5238095,0
new blade,Blade new,7,3,20,,,0.5,21917,13.25,0.037735849,302,,,,,290,290000,1041.37931,0
old,Blade old,5,1,11,,,0.4,1916,8.22,0.0486618,142,,56498.131,300.933,422.541,170,170000,835.2941176,73447.5703
old,Blade old,5,1,12,,,0.5,1916,4.68,0.106837607,324,,180703,859,536,375,375000,864,234913.9
old,Blade old,5,1,13,,,0.5,1916,4.12,0.121359223,410,,151481.376,569.929,587.102,445,445000,921.3483146,196925.7888
old,Blade old,5,1,14,,,0.4,1916,8.18,0.048899756,490,,170837.405,545.573,539.903,570,570000,859.6491228,222088.6265
old,Blade old,5,1,15,,,0.5,1916,6.95,0.071942446,410,,200687.22,675.115,636.809,490,490000,836.7346939,260893.386
old,Blade old,5,1,16,,,0.5,1916,6.15,0.081300813,372,,167854.55,559.813,546.46,420,420000,885.7142857,218210.915
old,Blade old,5,1,17,,,0.5,1916,5.32,0.093984962,594,,177780.845,462.316,697.46,625,625000,950.4,231115.0985
old,Blade old,5,1,18,,,0.5,1916,9.48,0.052742616,281,,137703.649,406.783,625.103,380,380000,739.4736842,179014.7437
old,Blade old,5,1,19,,,0.5,1916,9.93,0.050352467,694,,235135.839,672.6,706.432,750,750000,925.3333333,305676.5907
old,Blade old,5,1,20,,,0.5,1916,10.02,0.0499002,410,,175253.389,453.502,743.559,390,390000,1051.282051,227829.4057
old,Blade old,6,2,11,,,0.4,1917,7.88,0.050761421,142,,56498.131,300.933,422.541,170,170000,835.2941176,73447.5703
old,Blade old,6,2,12,,,0.3,1917,4.63,0.064794816,324,,180703,859,536,375,375000,864,234913.9
old,Blade old,6,2,13,,,0.3,1917,9.79,0.030643514,410,,151481.376,569.929,587.102,445,445000,921.3483146,196925.7888
old,Blade old,6,2,14,,,0.4,1917,6.73,0.059435364,490,,170837.405,545.573,539.903,570,570000,859.6491228,222088.6265
old,Blade old,6,2,15,,,0.4,1917,5.73,0.069808028,410,,200687.22,675.115,636.809,490,490000,836.7346939,260893.386
old,Blade old,6,2,16,,,0.3,at end of run?,4.85,0.06185567,372,,167854.55,559.813,546.46,420,420000,885.7142857,218210.915
old,Blade old,6,2,17,, ,0.4,1917,9.6,0.041666667,594,,177780.845,462.316,697.46,625,625000,950.4,231115.0985
old,Blade old,6,2,18,,,0.4,1917,7.46,0.053619303,281,,137703.649,406.783,625.103,380,380000,739.4736842,179014.7437
old,Blade old,6,2,19,,,0.4,1917,9.85,0.040609137,694,,235135.839,672.6,706.432,750,750000,925.3333333,305676.5907
old,Blade old,6,2,20,,,0.4,1917,5.5,0.072727273,410,,175253.389,453.502,743.559,390,390000,1051.282051,227829.4057
old,Blade old,7,3,11,,,0.4,1917,8.03,0.0498132,142,,,,,170,170000,835.2941176,0
old,Blade old,7,3,12,,,0.5,1917,10.05,0.049751244,324,,,,,375,375000,864,0
old,Blade old,7,3,13,,,0.5,1917,5.46,0.091575092,410,,,,,445,445000,921.3483146,0
old,Blade old,7,3,14,,,0.5,1917,8.62,0.05800464,490,,,,,570,570000,859.6491228,0
old,Blade old,7,3,15,,,0.5,21917,12.52,0.039936102,410,,,,,490,490000,836.7346939,0
old,Blade old,7,3,16,,,0.5,21917,11.16,0.044802867,372,,,,,420,420000,885.7142857,0
old,Blade old,7,3,17,,,0.5,21917,8.58,0.058275058,594,,,,,625,625000,950.4,0
old,Blade old,7,3,18,,,0.5,21917,14.15,0.035335689,281,,,,,380,380000,739.4736842,0
old,Blade old,7,3,19,,,0.5,21917,10.03,0.049850449,694,,,,,750,750000,925.3333333,0
old,Blade old,7,3,20,,,0.5,21917,6.29,0.079491256,410,,,,,390,390000,1051.282051,0
stipe,Stipe,5,1,11,,,0.4,1916,2.35,0.170212766,334,,20252.891,841,,350,350000,954.2857143,
stipe,Stipe,5,1,12,,,0.4,1916,2.15,0.186046512,491,,24781,1022,,440,440000,1115.909091,
stipe,Stipe,5,1,13,,,0.4,1916,2.13,0.187793427,526,,24878,995,,490,490000,1073.469388,
stipe,Stipe,5,1,14,,,0.4,1916,1.96,0.204081633,360,,166650,686,,285,285000,1263.157895,
stipe,Stipe,5,1,15,,1.02,0.4,1916,2.4,0.166666667,455,,23784,1026,,440,440000,1034.090909,
stipe,Stipe,5,1,16,,,0.4,1916,2.23,0.179372197,407,,212635,863,,280,280000,1453.571429,
stipe,Stipe,5,1,17,,,0.4,1916,2.28,0.175438596,498,,24295,858,,500,500000,996,
stipe,Stipe,5,1,18,,,0.4,1916,2.36,0.169491525,503,,28616.971,976,,495,495000,1016.161616,
stipe,Stipe,5,1,19,,,0.4,1916,2.42,0.165289256,461,,24103.168,873,,380,380000,1213.157895,
stipe,Stipe,5,1,20,,,0.4,1916,1.82,0.21978022,469,,25308.194,949,,490,490000,957.1428571,
stipe,Stipe,6,2,11,,,0.4,1917,2.58,0.15503876,334,,20252.891,841,,350,350000,954.2857143,
stipe,Stipe,6,2,12,,,0.4,1917,2.42,0.165289256,491,,24781,1022,,440,440000,1115.909091,
stipe,Stipe,6,2,13,,,0.4,1917,2.23,0.179372197,526,,24878,995,,490,490000,1073.469388,
stipe,Stipe,6,2,14,,,0.4,1917,1.83,0.218579235,360,,166650,686,,285,285000,1263.157895,
stipe,Stipe,6,2,15,,,0.4,1917,2.23,0.179372197,455,,23784,1026,,440,440000,1034.090909,
stipe,Stipe,6,2,16,,,0.4,1917,2.36,0.169491525,407,,212635,863,,280,280000,1453.571429,
stipe,Stipe,6,2,17,,,0.4,1917,2.48,0.161290323,498,,24295,858,,500,500000,996,
stipe,Stipe,6,2,18,,,0.4,1917,2.33,0.17167382,503,,28616.971,976,,495,495000,1016.161616,
stipe,Stipe,6,2,19,,,0.4,1917,2.06,0.194174757,461,,24103.168,873,,380,380000,1213.157895,
stipe,Stipe,6,2,20,,,0.5,1917,2.42,0.20661157,469,,25308.194,949,,490,490000,957.1428571,
stipe,Stipe,7,3,11,,,0.5,1917,3.06,0.163398693,334,,20252.891,841,,350,350000,954.2857143,
stipe,Stipe,7,3,12,,,0.5,1917,2.91,0.171821306,491,,24781,1022,,440,440000,1115.909091,
stipe,Stipe,7,3,13,,,0.5,1917,2.69,0.185873606,526,,24878,995,,490,490000,1073.469388,
stipe,Stipe,7,3,14,,,0.5,1917,3.28,0.152439024,360,,166650,686,,285,285000,1263.157895,
stipe,Stipe,7,3,15,,,0.3,1917,2.72,0.110294118,455,,23784,1026,,440,440000,1034.090909,
stipe,Stipe,7,3,16,,,0.5,1917,2.69,0.185873606,407,,212635,863,,280,280000,1453.571429,
stipe,Stipe,7,3,17,,,0.5,1917,3.26,0.153374233,498,,24295,858,,500,500000,996,
stipe,Stipe,7,3,18,,,0.5,1917,3.18,0.157232704,503,,28616.971,976,,495,495000,1016.161616,
stipe,Stipe,7,3,19,,,0.5,1917,2.46,0.203252033,461,,24103.168,873,,380,380000,1213.157895,
stipe,Stipe,7,3,20,,,0.5,1917,3.02,0.165562914,469,,25308.194,949,,490,490000,957.1428571,
large poo,Poo,1,1,51,5.02,5.08,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,52,5.13,5.24,0.1,,11,0.009090909,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,53,5.06,5.22,0.1,,16,0.00625,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,54,5.21,5.34,0.1,,13,0.007692308,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,55,5.23,5.36,0.1,,13,0.007692308,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,56,5.33,5.39,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,57,5.33,5.39,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,58,5.42,5.55,0.1,,13,0.007692308,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,59,5.42,5.48,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,60,5.42,5.49,0.1,,7,0.014285714,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,61,6.07,6.15,0.1,,8,0.0125,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,62,6.48,6.53,0.1,,5,0.02,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,63,6.5,7.01,0.1,,11,0.009090909,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,64,6.52,7.03,0.1,,11,0.009090909,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,65,6.55,7.02,0.1,,7,0.014285714,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,66,6.54,7.07,0.1,,13,0.007692308,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,67,7.15,7.22,0.1,,7,0.014285714,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,111,7.28,7.47,0.1,,19,0.005263158,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,112,7.48,7.55,0.1,,7,0.014285714,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,113,7.51,7.57,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,114,7.56,8.05,0.1,,9,0.011111111,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,115,8.14,8.2,0.1,,6,0.016666667,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,116,8.14,8.22,0.1,,8,0.0125,,,0.195857696,,0.4995,,,,
large poo,Poo,1,1,117,8.15,8.26,0.1,,11,0.009090909,,,0.195857696,,0.4995,,,,
med poo,Poo,1,1,68,5.02,5.27,0.1,,25,0.004,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,69,5.01,5.09,0.1,,8,0.0125,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,70,5.03,5.08,0.1,,5,0.02,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,71,5.03,5.08,0.1,,5,0.02,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,72,5.17,5.23,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,73,5.14,5.22,0.1,,8,0.0125,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,74,5.33,5.42,0.1,,9,0.011111111,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,75,5.34,5.44,0.1,,10,0.01,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,76,5.43,5.49,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,77,5.43,5.49,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,78,5.44,5.52,0.1,,8,0.0125,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,79,6.05,6.14,0.1,,9,0.011111111,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,80,6.15,6.21,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,81,6.15,6.21,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,82,6.17,6.24,0.1,,7,0.014285714,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,83,6.17,6.26,0.1,,9,0.011111111,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,84,6.49,6.54,0.1,,5,0.02,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,85,6.49,6.55,0.1,,6,0.016666667,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,86,6.49,6.54,0.1,,5,0.02,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,87,6.57,7.13,0.1,,16,0.00625,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,88,7.18,7.26,0.1,,8,0.0125,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,89,7.18,7.25,0.1,,7,0.014285714,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,90,7.18,7.25,0.1,,7,0.014285714,,,0.051646916,,0.2565,,,,
med poo,Poo,1,1,91,7.2,7.31,0.1,,11,0.009090909,,,0.051646916,,0.2565,,,,
small poo,Poo,1,1,92,5.04,5.12,0.1,,8,0.0125,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,93,5.13,5.21,0.1,,8,0.0125,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,94,5.18,5.26,0.1,,8,0.0125,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,95,5.2,5.3,0.1,,10,0.01,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,96,5.19,5.3,0.1,,11,0.009090909,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,97,5.2,5.3,0.1,,10,0.01,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,98,5.25,5.41,0.1,,16,0.00625,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,99,5.45,6,0.1,,15,0.006666667,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,100,5.5,6.04,0.1,,14,0.007142857,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,101,5.48,6.04,0.1,,16,0.00625,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,102,6.04,6.19,0.1,,15,0.006666667,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,103,6.39,6.54,0.1,,15,0.006666667,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,104,6.37,6.55,0.1,,18,0.005555556,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,105,6.42,7.03,0.1,,21,0.004761905,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,106,6.5,6.58,0.1,,8,0.0125,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,107,6.5,6.57,0.1,,7,0.014285714,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,108,7.28,8.15,0.1,,47,0.00212766,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,109,7.26,7.41,0.1,,15,0.006666667,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,110,7.26,7.35,0.1,,9,0.011111111,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,118,7.33,8.15,0.1,,42,0.002380952,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,119,8.16,8.27,0.1,,11,0.009090909,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,120,8.29,8.38,0.1,,9,0.011111111,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,121,8.3,8.4,0.1,,10,0.01,,,0.008987465,,0.107,,,,
small poo,Poo,1,1,122,8.37,8.59,0.1,,22,0.004545455,,,0.008987465,,0.107,,,,